"EventGroup","ImpactType","value","geography","table"
"Lewis and Clark","Induced",865.401051084442,"Missoula County, MT (2024)","Impact"
"Madison_MA","Indirect",88.8288708348926,"Missoula County, MT (2024)","Impact"
"Madison_MA","Induced",278.229831678458,"Missoula County, MT (2024)","Impact"
"Missoula","Direct",967585.461662887,"Missoula County, MT (2024)","Impact"
"Missoula","Indirect",632873.978796548,"Missoula County, MT (2024)","Impact"
"Missoula","Induced",286344.005949155,"Missoula County, MT (2024)","Impact"
"Missoula_MA","Direct",298792.610912954,"Missoula County, MT (2024)","Impact"
"Missoula_MA","Indirect",195341.458668396,"Missoula County, MT (2024)","Impact"
"Missoula_MA","Induced",88376.9978960427,"Missoula County, MT (2024)","Impact"
"Park","Induced",259.910674189533,"Missoula County, MT (2024)","Impact"
"Park_MA","Induced",343.415509356515,"Missoula County, MT (2024)","Impact"
"Ravalli","Indirect",17521.5751828326,"Missoula County, MT (2024)","Impact"
"Ravalli","Induced",5570.35653466682,"Missoula County, MT (2024)","Impact"
"Rest of MT","Indirect",3110.60101389818,"Missoula County, MT (2024)","Impact"
"Rest of MT","Induced",2026.00038916762,"Missoula County, MT (2024)","Impact"
"Yellowstone_MA","Induced",141.125830819725,"Missoula County, MT (2024)","Impact"
"Gallatin","Indirect",41141.9556678203,"Park County, MT (2024)","Impact"
"Gallatin","Induced",5052.5147561457,"Park County, MT (2024)","Impact"
"Gallatin_MA","Indirect",301681.751042046,"Park County, MT (2024)","Impact"
"Gallatin_MA","Induced",37737.7028057611,"Park County, MT (2024)","Impact"
"Madison","Induced",5244.66359528264,"Park County, MT (2024)","Impact"
"Madison_MA","Indirect",380.599791942221,"Park County, MT (2024)","Impact"
"Madison_MA","Induced",22569.0183225516,"Park County, MT (2024)","Impact"
"Park","Direct",1487116.08317334,"Park County, MT (2024)","Impact"
"Park","Indirect",619844.995406575,"Park County, MT (2024)","Impact"
"Park","Induced",88821.0406232805,"Park County, MT (2024)","Impact"
"Park_MA","Direct",1963672.29899165,"Park County, MT (2024)","Impact"
"Park_MA","Indirect",818925.926277158,"Park County, MT (2024)","Impact"
"Park_MA","Induced",117319.179316187,"Park County, MT (2024)","Impact"
"Rest of MT","Indirect",3980.69073725042,"Park County, MT (2024)","Impact"
"Rest of MT","Induced",672.43877828302,"Park County, MT (2024)","Impact"
"Rest of MT_MA","Indirect",151.146766854933,"Park County, MT (2024)","Impact"
"Rest of MT_MA","Induced",6.26382543807874,"Park County, MT (2024)","Impact"
"Yellowstone","Indirect",286.859655612024,"Park County, MT (2024)","Impact"
"Yellowstone","Induced",20.7144266145262,"Park County, MT (2024)","Impact"
"Yellowstone_MA","Indirect",4155.86238163753,"Park County, MT (2024)","Impact"
