"NAICS_2","FTE","EventGroup","table"
"23 Construction",0.184568811209025,"Gallatin_MA","Indirect & Induced Impacts"
"31-33 Manufacturing",0.0954292789356127,"Gallatin_MA","Indirect & Induced Impacts"
"42 Wholesale Trade",0.38970104711515,"Gallatin_MA","Indirect & Induced Impacts"
"44-45 Retail Trade",1.46411029970163,"Gallatin_MA","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",1.16197483197378,"Gallatin_MA","Indirect & Induced Impacts"
"51 Information",6.65340152721084,"Gallatin_MA","Indirect & Induced Impacts"
"52 Finance and Insurance",1.530601436177,"Gallatin_MA","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",2.01670267225003,"Gallatin_MA","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",2.10900420871039,"Gallatin_MA","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.137128034153053,"Gallatin_MA","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",1.57750996867514,"Gallatin_MA","Indirect & Induced Impacts"
"61 Educational Services",0.304084672241791,"Gallatin_MA","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",1.80934192278392,"Gallatin_MA","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",5.30767710048638,"Gallatin_MA","Indirect & Induced Impacts"
"72 Accommodation and Food Services",1.32167776580139,"Gallatin_MA","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",1.13678061393749,"Gallatin_MA","Indirect & Induced Impacts"
"9A Government Enterprises",0.148623752868803,"Gallatin_MA","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00153848003380546,"Glacier","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00203274068465526,"Glacier","All Impacts"
"22 Utilities",0.00661880150424552,"Glacier","All Impacts"
"23 Construction",0.0337341966897492,"Glacier","All Impacts"
"31-33 Manufacturing",0.00281709808810067,"Glacier","All Impacts"
"42 Wholesale Trade",0.0148527262605645,"Glacier","All Impacts"
"44-45 Retail Trade",0.0855666882460998,"Glacier","All Impacts"
"48-49 Transportation and Warehousing",0.0998592592567016,"Glacier","All Impacts"
"51 Information",4.00795491618173,"Glacier","All Impacts"
"52 Finance and Insurance",0.177879065628215,"Glacier","All Impacts"
"53 Real Estate and Rental and Leasing",0.19078479144478,"Glacier","All Impacts"
"54 Professional, Scientific, and Technical Services",0.197643299875487,"Glacier","All Impacts"
"55 Management of Companies and Enterprises",0.00319769334264239,"Glacier","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.196127496768291,"Glacier","All Impacts"
"61 Educational Services",0.0354700363609144,"Glacier","All Impacts"
"62 Health Care and Social Assistance",0.0785783105351216,"Glacier","All Impacts"
"71 Arts, Entertainment, and Recreation",0.836357509514767,"Glacier","All Impacts"
"72 Accommodation and Food Services",0.109938200749124,"Glacier","All Impacts"
"81 Other Services (except Public Administration)",0.078936112633291,"Glacier","All Impacts"
"9A Government Enterprises",0.0944488873227932,"Glacier","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00153848003380546,"Glacier","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00203274068465526,"Glacier","Indirect & Induced Impacts"
"22 Utilities",0.00661880150424552,"Glacier","Indirect & Induced Impacts"
"23 Construction",0.0337341966897492,"Glacier","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00281709808810067,"Glacier","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0148527262605645,"Glacier","Indirect & Induced Impacts"
"44-45 Retail Trade",0.0855666882460998,"Glacier","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0998592592567016,"Glacier","Indirect & Induced Impacts"
"51 Information",1.06553594842028,"Glacier","Indirect & Induced Impacts"
"52 Finance and Insurance",0.177879065628215,"Glacier","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.19078479144478,"Glacier","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.197643299875487,"Glacier","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.00319769334264239,"Glacier","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.196127496768291,"Glacier","Indirect & Induced Impacts"
"61 Educational Services",0.0354700363609144,"Glacier","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.0785783105351216,"Glacier","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.836357509514767,"Glacier","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.109938200749124,"Glacier","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.078936112633291,"Glacier","Indirect & Induced Impacts"
"9A Government Enterprises",0.0944488873227932,"Glacier","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00957525867843721,"Lewis and Clark_MA","All Impacts"
